IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",-1085
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",225
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",424
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",507
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",535
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",555
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",505
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",489
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",456
65,"Total net-migration","Total net number of migrants","World Population Prospects",2024,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",386
